frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_10.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_135.apx,	50,1,True,47,1122,0,1,True,47,1122,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_85.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_138.apx,	50,2,True,26,867,10,2,True,26,867,10
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_149.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_132.apx,	50,1,True,44,1110,0,1,True,44,1110,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_65.apx,	50,1,True,42,1097,0,1,True,42,1097,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_58.apx,	50,1,True,28,894,0,1,True,28,894,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_26.apx,	50,1,True,43,1104,0,1,True,43,1104,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_20.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_88.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_60.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_143.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_31.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_106.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_44.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_104.apx,	50,2,True,27,878,2,2,True,27,878,2
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_33.apx,	50,2,True,24,877,61,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_64.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_125.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_124.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_74.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_1.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_66.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_105.apx,	50,1,True,47,1122,0,1,True,47,1122,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_75.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_69.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_89.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_52.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_35.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_14.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_27.apx,	50,3,True,28,904,4,3,True,28,904,4
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_94.apx,	50,1,True,33,989,0,1,True,33,989,0
