frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_wa2/WS_4_0.66/WS_4_0.66_141.apx,	50,5184,True,4,186,7,5184,True,4,186,7
exp_wa2/WS_4_0.66/WS_4_0.66_160.apx,	50,5712,True,3,147,15,5712,True,3,147,15
exp_wa2/WS_4_0.66/WS_4_0.66_66.apx,	50,3584,True,7,309,6,3584,True,7,309,6
exp_wa2/WS_4_0.66/WS_4_0.66_140.apx,	50,12168,True,6,266,1,12168,True,6,266,1
exp_wa2/WS_4_0.66/WS_4_0.66_168.apx,	50,2800,True,5,225,3,2800,True,5,225,3
exp_wa2/WS_4_0.66/WS_4_0.66_54.apx,	50,20907,True,3,143,3,20907,True,3,143,3
exp_wa2/WS_4_0.66/WS_4_0.66_179.apx,	50,1524,True,6,277,10,1524,True,6,277,10
exp_wa2/WS_4_0.66/WS_4_0.66_15.apx,	50,23940,True,3,143,9,23940,True,3,143,9
exp_wa2/WS_4_0.66/WS_4_0.66_143.apx,	50,8712,True,3,153,16,8712,True,3,153,16
exp_wa2/WS_4_0.66/WS_4_0.66_16.apx,	50,2544,True,6,268,5,2544,True,6,268,5
exp_wa2/WS_4_0.66/WS_4_0.66_130.apx,	50,2700,True,6,269,5,2700,True,6,269,5
exp_wa2/WS_4_0.66/WS_4_0.66_109.apx,	50,5984,True,1,66,21,5984,True,1,66,21
exp_wa2/WS_4_0.66/WS_4_0.66_164.apx,	50,7632,True,4,184,7,7632,True,4,184,7
exp_wa2/WS_4_0.66/WS_4_0.66_187.apx,	50,3072,True,8,349,3,3072,True,8,349,3
exp_wa2/WS_4_0.66/WS_4_0.66_186.apx,	50,720,True,8,356,8,720,True,8,356,8
exp_wa2/WS_4_0.66/WS_4_0.66_158.apx,	50,8640,True,3,141,9,8640,True,3,141,9
exp_wa2/WS_4_0.66/WS_4_0.66_62.apx,	50,11264,True,6,265,0,11264,True,6,265,0
exp_wa2/WS_4_0.66/WS_4_0.66_182.apx,	50,2880,True,5,231,8,2880,True,5,231,8
exp_wa2/WS_4_0.66/WS_4_0.66_47.apx,	50,1656,True,8,354,7,1656,True,8,354,7
