frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp1/ER_0.5/ER_0.5_34.apx,	51,1,True,51,649,0,1,True,51,649,0
exp1/ER_0.5/ER_0.5_39.apx,	51,1,True,51,634,0,1,True,51,634,0
exp1/ER_0.5/ER_0.5_20.apx,	51,1,True,44,625,0,1,True,44,625,0
exp1/ER_0.5/ER_0.5_17.apx,	51,1,True,51,641,0,1,True,51,641,0
exp1/ER_0.5/ER_0.5_23.apx,	51,1,True,51,640,0,1,True,51,640,0
exp1/ER_0.5/ER_0.5_32.apx,	51,1,True,51,662,0,1,True,51,662,0
exp1/ER_0.5/ER_0.5_21.apx,	51,1,True,51,652,0,1,True,51,652,0
exp1/ER_0.5/ER_0.5_40.apx,	51,1,True,44,618,0,1,True,44,618,0
exp1/ER_0.5/ER_0.5_6.apx,	51,1,True,46,655,0,1,True,46,655,0
exp1/ER_0.5/ER_0.5_24.apx,	51,1,True,51,656,0,1,True,51,656,0
exp1/ER_0.5/ER_0.5_28.apx,	51,1,True,51,609,0,1,True,51,609,0
exp1/ER_0.5/ER_0.5_1.apx,	51,1,True,51,639,0,1,True,51,639,0
exp1/ER_0.5/ER_0.5_9.apx,	51,1,True,44,607,0,1,True,44,607,0
exp1/ER_0.5/ER_0.5_29.apx,	51,1,True,51,620,0,1,True,51,620,0
exp1/ER_0.5/ER_0.5_37.apx,	51,1,True,51,639,0,1,True,51,639,0
exp1/ER_0.5/ER_0.5_7.apx,	51,1,True,51,619,0,1,True,51,619,0
exp1/ER_0.5/ER_0.5_4.apx,	51,1,True,51,645,0,1,True,51,645,0
exp1/ER_0.5/ER_0.5_5.apx,	51,1,True,51,636,0,1,True,51,636,0
exp1/ER_0.5/ER_0.5_15.apx,	51,1,True,51,659,0,1,True,51,659,0
exp1/WS_4_0.33/WS_4_0.33_36.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp1/WS_4_0.33/WS_4_0.33_37.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_35.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp1/WS_4_0.33/WS_4_0.33_5.apx,	50,1,True,32,972,0,1,True,32,972,0
exp1/WS_4_0.33/WS_4_0.33_16.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp1/WS_4_0.33/WS_4_0.33_18.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_15.apx,	50,1,True,30,935,0,1,True,30,935,0
exp1/WS_4_0.33/WS_4_0.33_19.apx,	50,1,True,43,1104,0,1,True,43,1104,0
exp1/WS_4_0.33/WS_4_0.33_10.apx,	50,1,True,33,989,0,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_21.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp1/WS_4_0.33/WS_4_0.33_9.apx,	50,1,True,31,954,0,1,True,31,954,0
exp1/WS_4_0.33/WS_4_0.33_28.apx,	50,2,True,28,919,16,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_33.apx,	50,1,True,33,989,0,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_22.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_24.apx,	50,1,True,44,1110,0,1,True,44,1110,0
exp1/WS_4_0.33/WS_4_0.33_38.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_27.apx,	50,1,True,32,972,0,1,True,32,972,0
exp1/WS_4_0.33/WS_4_0.33_6.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp1/WS_4_0.33/WS_4_0.33_39.apx,	50,1,True,33,989,0,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_26.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp1/WS_4_0.33/WS_4_0.33_8.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp1/WS_4_0.33/WS_4_0.33_23.apx,	50,2,True,27,914,29,2,True,27,914,29
exp1/WS_4_0.33/WS_4_0.33_40.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp1/WS_4_0.33/WS_4_0.33_11.apx,	50,2,True,25,881,40,2,True,25,881,40
exp1/WS_4_0.33/WS_4_0.33_3.apx,	50,2,True,30,957,17,1,True,32,972,0
exp1/WS_4_0.33/WS_4_0.33_7.apx,	50,2,True,28,926,24,1,True,32,972,0
exp1/WS_4_0.33/WS_4_0.33_4.apx,	50,1,True,33,989,0,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_2.apx,	50,1,True,39,1070,0,1,True,39,1070,0
exp1/WS_4_0.33/WS_4_0.33_13.apx,	50,1,True,30,935,0,1,True,30,935,0
exp1/WS_4_0.33/WS_4_0.33_14.apx,	50,1,True,33,989,0,1,True,33,989,0
exp1/WS_4_0.33/WS_4_0.33_17.apx,	50,3,True,21,840,92,3,True,21,840,92
exp1/WS_4_0.33/WS_4_0.33_34.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_31.apx,	50,2,True,28,900,1,2,True,28,900,1
exp1/WS_4_0.33/WS_4_0.33_20.apx,	50,4,True,26,875,12,4,True,26,875,12
exp1/WS_4_0.33/WS_4_0.33_30.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp1/WS_4_0.33/WS_4_0.33_32.apx,	50,2,True,27,907,22,1,True,32,972,0
exp1/WS_4_0.33/WS_4_0.33_29.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp1/WS_4_0.33/WS_4_0.33_1.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp1/WS_4_0.33/WS_4_0.33_25.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp1/WS_4_0.33/WS_4_0.33_12.apx,	50,1,True,32,972,0,1,True,32,972,0
exp1/WS_10_0.33/WS_10_0.33_40.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_30.apx,	50,1,True,37,897,0,1,True,37,897,0
exp1/WS_10_0.33/WS_10_0.33_16.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_11.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_21.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_6.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_3.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_17.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_9.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_29.apx,	50,1,True,38,909,0,1,True,38,909,0
exp1/WS_10_0.33/WS_10_0.33_4.apx,	50,1,True,49,975,0,1,True,49,975,0
exp1/WS_10_0.33/WS_10_0.33_35.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_24.apx,	50,1,True,39,920,0,1,True,39,920,0
exp1/WS_10_0.33/WS_10_0.33_34.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_28.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_31.apx,	50,1,True,39,920,0,1,True,39,920,0
exp1/WS_10_0.33/WS_10_0.33_20.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_2.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_26.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_23.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_1.apx,	50,2,True,36,890,1,2,True,36,890,1
exp1/WS_10_0.33/WS_10_0.33_15.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_32.apx,	50,1,True,42,947,0,1,True,42,947,0
exp1/WS_10_0.33/WS_10_0.33_37.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_27.apx,	50,1,True,46,969,0,1,True,46,969,0
exp1/WS_10_0.33/WS_10_0.33_12.apx,	50,1,True,49,975,0,1,True,49,975,0
exp1/WS_10_0.33/WS_10_0.33_19.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_25.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_36.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_5.apx,	50,1,True,40,930,0,1,True,40,930,0
exp1/WS_10_0.33/WS_10_0.33_13.apx,	50,1,True,45,965,0,1,True,45,965,0
exp1/WS_10_0.33/WS_10_0.33_18.apx,	50,1,True,42,947,0,1,True,42,947,0
exp1/WS_10_0.33/WS_10_0.33_10.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_8.apx,	50,1,True,49,975,0,1,True,49,975,0
exp1/WS_10_0.33/WS_10_0.33_7.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_14.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_39.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_33.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_38.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/WS_10_0.33/WS_10_0.33_22.apx,	50,1,True,50,975,0,1,True,50,975,0
exp1/BA_0.33/BA_0.33_20.apx,	51,18,True,11,481,14,18,True,11,481,14
exp1/BA_0.33/BA_0.33_12.apx,	51,8,True,11,449,0,8,True,11,449,0
exp1/BA_0.33/BA_0.33_33.apx,	51,24,True,9,372,0,24,True,9,372,0
exp1/BA_0.33/BA_0.33_27.apx,	51,48,True,8,336,1,48,True,8,336,1
exp1/BA_0.33/BA_0.33_1.apx,	51,2,True,11,455,4,2,True,11,455,4
exp1/BA_0.33/BA_0.33_21.apx,	51,12,True,9,375,1,12,True,9,375,1
exp1/BA_0.33/BA_0.33_23.apx,	51,12,True,11,450,0,12,True,11,450,0
exp1/BA_0.33/BA_0.33_19.apx,	51,48,True,11,455,0,48,True,11,455,0
