frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_13.apx,	50,8,True,27,881,2,8,True,27,881,2
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_15.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_17.apx,	50,2,True,30,939,1,2,True,30,939,1
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_19.apx,	50,2,True,26,897,34,2,True,26,897,34
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_9.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_8.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_10.apx,	50,3,True,31,980,14,1,True,36,1034,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_2.apx,	50,1,True,49,1125,0,1,True,49,1125,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_33.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_24.apx,	50,1,True,47,1122,0,1,True,47,1122,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_3.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_7.apx,	50,2,True,30,937,0,2,True,30,937,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_39.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_25.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_34.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_30.apx,	50,1,True,39,1070,0,1,True,39,1070,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_11.apx,	50,2,True,31,958,0,2,True,31,958,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_4.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_32.apx,	50,2,True,35,1032,6,2,True,35,1032,6
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_27.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_40.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_5.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_22.apx,	50,4,True,31,958,1,2,True,32,973,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_18.apx,	50,2,True,26,861,4,2,True,26,861,4
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_3.apx,	50,6,False,22,806,40,4,True,24,837,21
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_10.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_32.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_16.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_29.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_17.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_37.apx,	50,2,True,26,948,79,2,True,26,948,79
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_34.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_15.apx,	50,2,True,32,997,16,2,True,32,997,16
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_13.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_19.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_22.apx,	50,2,True,36,1035,0,2,True,36,1035,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_38.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_6.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_31.apx,	50,2,True,32,984,5,1,True,35,1020,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_40.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_11.apx,	50,2,True,33,991,0,2,True,33,991,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_9.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_25.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.33_0.5/WS_4_0.33_0.5_26.apx,	50,1,True,41,1089,0,1,True,41,1089,0
